id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Babylon,Dusk Protocol,EDM,euphoric,0.95,140,0.88,0.94,0.04
12,Broken Halo,Elara Voss,R&B,melancholic,0.52,92,0.38,0.67,0.44
13,Iron Crown,Thornwall,metal,aggressive,0.97,168,0.22,0.55,0.06
14,Petal and Rust,June Hollow,country,nostalgic,0.44,104,0.72,0.61,0.81
15,Hangang Evening,SOEL,k-pop,romantic,0.68,120,0.79,0.85,0.28
16,Blue Smoke,Marcelino,reggae,relaxed,0.55,88,0.75,0.77,0.63
17,Velvet Underground Dreams,Clara Nights,classical,melancholic,0.21,64,0.44,0.30,0.97
18,Ghost Signal,Phase Drift,hip-hop,dark,0.78,96,0.31,0.80,0.15
19,Burning Carousel,The Foxlights,indie rock,nostalgic,0.70,130,0.66,0.72,0.38
20,Lotus Protocol,Wavemind,ambient,euphoric,0.33,70,0.83,0.45,0.90
